id,family,genus,species,cluster,length
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231_5104_1667246,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,5,10000
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231_5105_838715,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,5,10000
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231_5106_558922,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,5,10000
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231_5107_696370,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,5,10000
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231_5108_516075,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,5,10000
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231_5109_1308177,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,5,10000
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231_5110_1608152,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,5,10000
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231_5111_1872766,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,5,10000
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231_5112_1193816,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,5,10000
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231_5113_55473,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,5,10000
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231_5114_1547486,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,5,10000
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231_5115_2017151,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,5,10000
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231_5116_254500,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,5,10000
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231_5117_1789013,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,5,10000
Actinobacillus_succinogenes_130Z_uid58247_5151_2250569,Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes,5,10000
Actinobacillus_succinogenes_130Z_uid58247_5152_1846390,Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes,5,10000
Actinobacillus_succinogenes_130Z_uid58247_5153_464114,Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes,0,10000
Actinobacillus_succinogenes_130Z_uid58247_5154_1501060,Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes,5,10000
Actinobacillus_succinogenes_130Z_uid58247_5155_342282,Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes,5,10000
Actinobacillus_succinogenes_130Z_uid58247_5156_844588,Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes,0,10000
Actinobacillus_succinogenes_130Z_uid58247_5157_223899,Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes,5,10000
Actinobacillus_succinogenes_130Z_uid58247_5158_147202,Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes,5,10000
Actinobacillus_succinogenes_130Z_uid58247_5159_357126,Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes,5,10000
Actinobacillus_succinogenes_130Z_uid58247_5160_244325,Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes,5,10000
Actinobacillus_succinogenes_130Z_uid58247_5161_57962,Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes,5,10000
Actinobacillus_succinogenes_130Z_uid58247_5162_1528816,Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes,5,10000
Actinobacillus_succinogenes_130Z_uid58247_5163_1486929,Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes,5,10000
Actinobacillus_succinogenes_130Z_uid58247_5164_127936,Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes,5,10000
Actinobacillus_succinogenes_130Z_uid58247_5165_512660,Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes,5,10000
Actinobacillus_succinogenes_130Z_uid58247_5166_160277,Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes,5,10000
Actinobacillus_succinogenes_130Z_uid58247_5167_427567,Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes,5,10000
Actinobacillus_succinogenes_130Z_uid58247_5168_223323,Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes,5,10000
Actinobacillus_succinogenes_130Z_uid58247_5169_1165223,Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes,5,10000
Actinobacillus_succinogenes_130Z_uid58247_5170_1633977,Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes,5,10000
Actinobacillus_succinogenes_130Z_uid58247_5171_1472330,Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes,5,10000
Actinobacillus_succinogenes_130Z_uid58247_5172_501378,Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes,5,10000
Actinobacillus_succinogenes_130Z_uid58247_5173_1457450,Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes,5,10000
Actinobacillus_succinogenes_130Z_uid58247_5174_915165,Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes,5,10000
Actinobacillus_succinogenes_130Z_uid58247_5175_1109475,Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes,5,10000
Actinobacillus_succinogenes_130Z_uid58247_5176_259363,Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes,5,10000
Actinobacillus_succinogenes_130Z_uid58247_5177_883029,Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes,7,10000
Actinobacillus_succinogenes_130Z_uid58247_5178_1978885,Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes,5,10000
Actinobacillus_succinogenes_130Z_uid58247_5179_1844428,Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes,5,10000
Actinobacillus_succinogenes_130Z_uid58247_5180_2086086,Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes,5,10000
Actinobacillus_succinogenes_130Z_uid58247_5181_221719,Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes,5,10000
Actinobacillus_succinogenes_130Z_uid58247_5182_530420,Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes,5,10000
Actinobacillus_succinogenes_130Z_uid58247_5183_1316628,Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes,5,10000
Actinobacillus_suis_H91_0380_uid176363_5118_2054779,Pasteurellaceae,Actinobacillus,Actinobacillus suis,5,10000
Actinobacillus_suis_H91_0380_uid176363_5119_1775128,Pasteurellaceae,Actinobacillus,Actinobacillus suis,5,10000
Actinobacillus_suis_H91_0380_uid176363_5120_272056,Pasteurellaceae,Actinobacillus,Actinobacillus suis,5,10000
Actinobacillus_suis_H91_0380_uid176363_5121_1649130,Pasteurellaceae,Actinobacillus,Actinobacillus suis,5,10000
Actinobacillus_suis_H91_0380_uid176363_5122_1245113,Pasteurellaceae,Actinobacillus,Actinobacillus suis,5,10000
Actinobacillus_suis_H91_0380_uid176363_5123_949152,Pasteurellaceae,Actinobacillus,Actinobacillus suis,5,10000
Actinobacillus_suis_H91_0380_uid176363_5124_158,Pasteurellaceae,Actinobacillus,Actinobacillus suis,5,10000
Actinobacillus_suis_H91_0380_uid176363_5125_550510,Pasteurellaceae,Actinobacillus,Actinobacillus suis,5,10000
Actinobacillus_suis_H91_0380_uid176363_5126_1432257,Pasteurellaceae,Actinobacillus,Actinobacillus suis,5,10000
Actinobacillus_suis_H91_0380_uid176363_5127_505751,Pasteurellaceae,Actinobacillus,Actinobacillus suis,5,10000
Actinobacillus_suis_H91_0380_uid176363_5128_794813,Pasteurellaceae,Actinobacillus,Actinobacillus suis,5,10000
Actinobacillus_suis_H91_0380_uid176363_5129_1754774,Pasteurellaceae,Actinobacillus,Actinobacillus suis,5,10000
Actinobacillus_suis_H91_0380_uid176363_5130_1445916,Pasteurellaceae,Actinobacillus,Actinobacillus suis,5,10000
Actinobacillus_suis_H91_0380_uid176363_5131_341152,Pasteurellaceae,Actinobacillus,Actinobacillus suis,5,10000
Actinobacillus_suis_H91_0380_uid176363_5132_1637359,Pasteurellaceae,Actinobacillus,Actinobacillus suis,5,10000
Actinobacillus_suis_H91_0380_uid176363_5133_256532,Pasteurellaceae,Actinobacillus,Actinobacillus suis,5,10000
Actinobacillus_suis_H91_0380_uid176363_5134_2091822,Pasteurellaceae,Actinobacillus,Actinobacillus suis,5,10000
Actinobacillus_suis_H91_0380_uid176363_5135_138767,Pasteurellaceae,Actinobacillus,Actinobacillus suis,5,10000
Actinobacillus_suis_H91_0380_uid176363_5136_2450346,Pasteurellaceae,Actinobacillus,Actinobacillus suis,5,10000
Actinobacillus_suis_H91_0380_uid176363_5137_1081768,Pasteurellaceae,Actinobacillus,Actinobacillus suis,5,10000
Actinobacillus_suis_H91_0380_uid176363_5138_1373527,Pasteurellaceae,Actinobacillus,Actinobacillus suis,5,10000
Actinobacillus_suis_H91_0380_uid176363_5139_1967995,Pasteurellaceae,Actinobacillus,Actinobacillus suis,5,10000
Actinobacillus_suis_H91_0380_uid176363_5140_946846,Pasteurellaceae,Actinobacillus,Actinobacillus suis,5,10000
Actinobacillus_suis_H91_0380_uid176363_5141_1238579,Pasteurellaceae,Actinobacillus,Actinobacillus suis,5,10000
Actinobacillus_suis_H91_0380_uid176363_5142_1900283,Pasteurellaceae,Actinobacillus,Actinobacillus suis,5,10000
Actinobacillus_suis_H91_0380_uid176363_5143_443002,Pasteurellaceae,Actinobacillus,Actinobacillus suis,5,10000
Actinobacillus_suis_H91_0380_uid176363_5144_2050109,Pasteurellaceae,Actinobacillus,Actinobacillus suis,5,10000
Actinobacillus_suis_H91_0380_uid176363_5145_2105887,Pasteurellaceae,Actinobacillus,Actinobacillus suis,5,10000
Actinobacillus_suis_H91_0380_uid176363_5146_1690353,Pasteurellaceae,Actinobacillus,Actinobacillus suis,5,10000
Actinobacillus_suis_H91_0380_uid176363_5147_583783,Pasteurellaceae,Actinobacillus,Actinobacillus suis,5,10000
Actinobacillus_suis_H91_0380_uid176363_5148_493465,Pasteurellaceae,Actinobacillus,Actinobacillus suis,5,10000
Actinobacillus_suis_H91_0380_uid176363_5149_799586,Pasteurellaceae,Actinobacillus,Actinobacillus suis,5,10000
Actinobacillus_suis_H91_0380_uid176363_5150_1952325,Pasteurellaceae,Actinobacillus,Actinobacillus suis,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5234_529916,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5235_1894841,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5236_1535767,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5237_1890756,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5238_618886,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5239_1963760,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5240_1351445,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,7,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5241_104082,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5242_1177541,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5243_942944,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5244_397797,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5245_1590423,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5246_440763,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5247_1591144,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5248_1549655,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5249_1868169,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5250_596101,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5251_993224,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5252_799010,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5253_245031,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5254_1755947,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5255_770326,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5256_703308,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5257_1704385,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5258_1641439,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5259_1089918,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5260_1201831,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5261_243898,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5262_1634148,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5263_1666535,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5264_1445331,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5265_250304,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5266_481519,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5267_142437,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5268_1839289,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5269_709774,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5270_305478,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5271_2069576,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5272_434020,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5273_1686933,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5274_1674384,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5275_1990998,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5276_12907,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5277_267020,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5278_352814,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5279_366317,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5280_1858637,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5281_542275,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5282_866611,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_actinomycetemcomitans_D7S_1_uid46989_5283_338880,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5184_161188,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5185_1600163,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5186_1310738,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5187_1676427,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5188_847835,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5189_840257,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5190_2046130,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5191_740495,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5192_701942,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5193_46460,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5194_2196816,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,7,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5195_1236617,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5196_1247610,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5197_2033283,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5198_1469461,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5199_1901209,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5200_1080125,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5201_1256891,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5202_1938510,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5203_2011674,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5204_449737,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5205_867746,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5206_1058178,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,7,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5207_66106,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5208_1360828,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5209_912835,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5210_263926,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5211_343191,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5212_1720160,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5213_994972,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5214_2056976,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5215_2062604,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5216_2198321,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,7,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5217_1265403,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5218_573382,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5219_2039161,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5220_2083076,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5221_2682,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5222_787432,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5223_1793719,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5224_1877325,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5225_1349958,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
Aggregatibacter_aphrophilus_NJ8700_uid59407_5226_1524307,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,5,10000
